1 - PC1 (66.28%),1 - PC2 (21.91%),3 - PC1 (71.99%),3 - PC2 (9.84%)
117852.16164734903,76326.88082761341,0.47045227785366106,0.011554104420186243
116419.26189870968,72987.6602274548,0.4882771504821799,0.051334092015578606
114986.36215007027,69648.43962729626,0.512127981923473,0.07553896635230996
113553.46240143095,66309.21902713773,0.5379076631449502,0.09349843742141446
112120.56265279157,62969.99842697926,0.5542292045027579,0.10969743191971644
110687.66290415214,59630.77782682073,0.5590268906201676,0.12101881236440883
109254.76315551279,56291.55722666225,0.5648990355187216,0.11821684015496355
107863.15832221835,52915.92915546472,0.5840027446414691,0.0922373825062666
107821.15664925212,48350.42970268635,0.606620960178553,0.04466974241705425
107779.15497628583,43784.93024990798,0.6037042182246177,-0.013384223983114715
107737.15330331966,39219.430797129564,0.5683936256762137,-0.06259397885572625
107316.03506819629,38532.29546820637,0.521771515961688,-0.08392600095998685
106887.25972256916,37923.492413931526,0.4954293391746376,-0.08161804117772707
106458.48437694194,37314.68935965675,0.5021990397430638,-0.062182837593425286
102538.00853651225,40609.11114303056,0.5208702208484566,-0.04017034861174594
98410.98433628764,44134.42463356197,0.5290433156158143,-0.025661660910356085
94283.960136063,47659.73812409332,0.5237127109106383,-0.021807468081798995
92936.53345596792,49896.953615081686,0.5206256035635106,-0.0239568219251962
91916.37499421668,51982.509186131996,0.5365231906096322,-0.020662466123433462
90896.21653246535,54068.06475718241,0.5702872007303423,-0.0032582572199592458
90303.47975121865,54786.30118292269,0.6096528756808179,0.030221841935730034
89781.12784825744,55279.3768458618,0.6458737536746524,0.07022308543732865
89258.77594529635,55772.45250880104,0.6804182279878581,0.10462117026078029
90511.7170526673,56670.89431766297,0.7156211694104646,0.12621569353220885
92183.45995863261,57664.964324244225,0.7412011214580405,0.1301461637221702
93855.20286459786,58659.034330825394,0.7463917555098307,0.1242833110567962
96872.91555821827,60224.904847407364,0.7347492156672359,0.11672995966425732
100285.72887627308,61958.62366238759,0.7266972241512055,0.11217868852688002
103698.5421943279,63692.34247736784,0.7325093563454852,0.1097242591428574
104358.6304596252,63977.4824497931,0.745317000364546,0.10583275660161441
104036.49096378476,63745.7403050127,0.7514055123797758,0.09792355296219203
103714.35146794417,63513.998160232324,0.743176518617394,0.08472383326333445
101662.28749388199,62396.825947278674,0.7283479761124678,0.06742002112148783
98872.22753326951,60901.924044440326,0.7170923595346466,0.04710477580121038
96082.16757265718,59407.02214160185,0.7099926959324809,0.02640435416465621
92858.27608379551,57777.33627813222,0.7002636088188117,0.008703881356764268
89415.75106898828,56079.724755426534,0.6843875516724081,-0.004234585684886424
85973.22605418113,54382.11323272085,0.6662982855235813,-0.011714092043087362
83843.34008960151,53310.73190179984,0.6537149577737258,-0.015465051200649657
82444.49320712082,52588.1126654589,0.6489370502956002,-0.016548670181287126
81045.64632463998,51865.49342911798,0.6470877621266498,-0.015925856787935275
80534.35526850754,51502.70982013276,0.6437464412083063,-0.014581173507668008
80599.54326386774,51373.644130621775,0.6403578389423545,-0.013787732283416496
80664.73125922795,51244.578441110876,0.6411928414655301,-0.014095800466301031
80324.4540271386,51001.141974548125,0.6480233463426031,-0.015407838809236171
79678.53233322491,50671.49146980434,0.6557351524677453,-0.017123329806943297
79032.61063931098,50341.840965060575,0.6584057868053237,-0.019655799281590433
78941.53372038285,50182.72217273875,0.656817890727285,-0.023891099404378488
79308.90210724341,50164.50668630103,0.6552440858822826,-0.030669310114643064
79676.2704941038,50146.29119986328,0.6564168192865403,-0.03857525999933552
79726.65897108694,49983.050025527555,0.657933209615901,-0.045281279628729895
79474.33852240046,49681.31247078988,0.6554267105366551,-0.04911908483786685
79222.01807371392,49379.57491605221,0.6484437993284422,-0.05071780114641465
78900.80706643568,48925.24110511702,0.6403145331990838,-0.052445862482445635
78507.57603978178,48311.37911568156,0.6335701625272736,-0.056292530355023115
78114.34501312776,47697.51712624611,0.6274619705655837,-0.06345061581645493
77350.67088999286,46854.21680819907,0.6198652539199474,-0.07296172494008206
76162.96902884483,45748.28987780896,0.6109119771296243,-0.08388980041454307
74975.26716769686,44642.36294741888,0.6036430772571244,-0.0946715453716732
74663.51245085652,43659.217510847535,0.5999928815702387,-0.10380051472110045
75450.18771285845,42830.03898259248,0.597471222623007,-0.11034379329294301
76236.86297486037,42000.86045433745,0.5927640372688039,-0.11412922308319111
76817.50074430024,40852.88175502104,0.5856604538999404,-0.11677592265274021
77114.8204260854,39266.52723543033,0.5793719050685713,-0.1199959481708923
77412.14010787076,37680.172715839595,0.5772805243025931,-0.1241440176844436
77973.91639068966,36183.94795748411,0.5786700662473614,-0.12791483065181353
78935.00053007495,34823.81177332552,0.5805047330753992,-0.12965273126905197
79896.08466946006,33463.67558916687,0.5810704530231743,-0.129791348615035
80526.20639297513,32289.494152211333,0.5816385557617829,-0.12999932409160847
80606.60356445958,31424.18129127024,0.5840470439211172,-0.13155474368762632
80687.00073594406,30558.868430329192,0.5878319293484116,-0.1341822929307237
81069.97906467748,29482.093395950524,0.5899762405666265,-0.13614868425962945
82007.10680976276,28018.044940265037,0.5887047017441254,-0.13653730455506735
82944.23455484792,26553.99648457945,0.5859625789763094,-0.1363283977775725
84440.84364515445,24346.20230432689,0.5847957725664994,-0.13715828728883078
87004.38940245188,20720.07739466601,0.5866249634672609,-0.14012416177886866
89567.93515974919,17093.952485005062,0.5900732150735839,-0.1447653051706077
92362.33745254732,12832.524782672092,0.5936109536493162,-0.14999179786591277
95644.21885051175,7229.584975387359,0.59772856656116,-0.1550610973144123
98926.10024847621,1626.6451681026847,0.6041330331245565,-0.15979921285418175
102053.73028304106,-3320.7786592276134,0.6118316104085395,-0.16414223007863138
104841.5199928874,-6823.996363668692,0.6178414251133801,-0.16760612879514447
